VESSEL;DEPARTURE;ARRIVAL;DAYS;DEPARTURE;ARRIVAL;CRUISE;TRIPLE ;MAIN DECK ;CLASSIC ;SUPERIOR ;DELUXE ;PREMIUM ;OWNERS
Poseidon Vessel;25/05/2023;07/06/2023;14;Reykjavik;Kangerlussuaq;West Greenland & Disko Bay;"$7.595";"$10.495";"$11.195";"$11.395";"$12.895";"$14.095";"$17.995"
Poseidon2 Vessel;;;;;;SPRING SPECIAL 10-15%;"$6.836";"$9.446";"$10.076";"$9.686";"$10.961";"$11.981";"$15.296"
Poseidon Vessel;06/07/2023;17/07/2023;12;Longyearbyen;Longyearbyen;Svalbard & Polar Ice Edge;"$8.895";"$12.295";"$13.095";"$13.295";"$14.995";"$16.395";"$20.995"
Poseidon Vessel;;;;;;SPRING SPECIAL 10-15%;"$8.006";"$11.066";"$11.786";"$11.301";"$12.746";"$13.936";"$17.846"
Poseidon Vessel;04/09/2023;15/09/2023;12;Reykjavik;Reykjavik;East Greenland;"$7.595";"$10.495";"$11.195";"$11.495";"$12.895";"$14.095";"$18.095"
Poseidon Vessel;;;;;;SPRING SPECIAL 10-15%;"$6.836";"$9.446";"$10.076";"$9.771";"$10.961";"$11.981";"$15.381"
Poseidon Vessel;12/11/2023;22/11/2023;11;Ushuaia;Ushuaia;Antarctic Peninsula;"$8.895";"$12.395";"$13.195";"$13.395";"$15.095";"$16.495";"$21.195"
Poseidon Vessel;;;;;;SPRING SPECIAL 10-15%;"$8.006";"$11.156";"$11.876";"$11.386";"$12.831";"$14.021";"$18.016"
Poseidon2 Vessel;21/11/2023;01/12/2023;11;Ushuaia;Ushuaia;Antarctic Peninsula;"$8.895";"$12.395";"$13.195";"$13.395";"$15.095";"$16.495";"$21.195"
Poseidon Vessel;;;;;;SPRING SPECIAL 10-15%;"$8.150";"$11.156";"$11.876";"$11.386";"$12.831";"$14.021";"$18.016"
Poseidon Vessel;10/12/2023;20/12/2023;11;Ushuaia;Ushuaia;Antarctic Peninsula;"$8.895";"$12.395";"$13.195";"$13.395";"$15.095";"$16.495";"$21.195"
Poseidon Vessel;;;;;;SPRING SPECIAL 10-15%;"$8.300";"$11.156";"$11.876";"$11.386";"$12.831";"$14.021";"$18.016"
Poseidon Vessel;19/12/2023;29/12/2023;11;Ushuaia;Ushuaia;Christmas in Antarctica;"$9.695";"$13.495";"$14.395";"$14.595";"$16.495";"$17.995";"$23.095"
Poseidon Vessel;;;;;;SPRING SPECIAL 10-15%;"$8.726";"$12.146";"$12.956";"$12.406";"$14.021";"$15.296";"$19.631"
Poseidon Vessel;28/12/2023;07/01/2024;11;Ushuaia;Ushuaia;New Year in Antarctica;"$10.295";"$14.295";"$15.095";"$15.395";"$17.295";"$18.895";"$24.295"
Poseidon Vessel;;;;;;SPRING SPECIAL 10-15%;"$9.266";"$12.866";"$13.586";"$13.086";"$14.701";"$16.061";"$20.651"